image_nr,image_name,file_path,cr,concept,category_label,CR,CR_pcntile,cr_rank,filename
22,abacus_08s.jpg,generate_experimental_sequences/THINGS/abacus/abacus_08s.jpg,0.756097561,abacus,home decor,0.798484733,62.57839721254356,2,abacus_2.jpg
28,abacus_14s.jpg,generate_experimental_sequences/THINGS/abacus/abacus_14s.jpg,0.756097561,abacus,home decor,0.798484733,62.57839721254356,1,abacus_1.jpg
69,air_conditioner_11s.jpg,generate_experimental_sequences/THINGS/air_conditioner/air_conditioner_11s.jpg,0.926829268,air_conditioner,electronic device,0.794466206,57.8397212543554,2,air_conditioner_2.jpg
71,air_conditioner_13s.jpg,generate_experimental_sequences/THINGS/air_conditioner/air_conditioner_13s.jpg,0.8,air_conditioner,electronic device,0.794466206,57.8397212543554,1,air_conditioner_1.jpg
332,anklet_01b.jpg,generate_experimental_sequences/THINGS/anklet/anklet_01b.jpg,0.95,anklet,NA,0.863744355,99.1637630662021,1,anklet_2.jpg
340,anklet_09s.jpg,generate_experimental_sequences/THINGS/anklet/anklet_09s.jpg,0.868421053,anklet,NA,0.863744355,99.1637630662021,2,anklet_1.jpg
434,apple_01b.jpg,generate_experimental_sequences/THINGS/apple/apple_01b.jpg,0.952380952,apple,food,0.826558595,86.41114982578398,1,apple_2.jpg
438,apple_05s.jpg,generate_experimental_sequences/THINGS/apple/apple_05s.jpg,0.769230769,apple,food,0.826558595,86.41114982578398,2,apple_1.jpg
745,bacon_04s.jpg,generate_experimental_sequences/THINGS/bacon/bacon_04s.jpg,0.906976744,bacon,food,0.838679079,92.9616724738676,2,bacon_1.jpg
755,bacon_14s.jpg,generate_experimental_sequences/THINGS/bacon/bacon_14s.jpg,0.815789474,bacon,food,0.838679079,92.9616724738676,1,bacon_2.jpg
764,badge_05s.jpg,generate_experimental_sequences/THINGS/badge/badge_05s.jpg,0.756097561,badge,NA,0.809341762,73.2404181184669,1,badge_2.jpg
766,badge_07s.jpg,generate_experimental_sequences/THINGS/badge/badge_07s.jpg,0.8,badge,NA,0.809341762,73.2404181184669,2,badge_1.jpg
805,bag_10s.jpg,generate_experimental_sequences/THINGS/bag/bag_10s.jpg,0.95,bag,container,0.789145696,51.98606271777003,2,bag_1.jpg
